	1	2	3	4	5	6	7	8	9
62	1	2	0	0	0	0	0	0	0
63	7	0	0	1	2	0	0	0	0
64	0	1	0	1	0	0	0	0	0
65	4	2	0	0	1	0	0	0	0
66	5	4	0	0	0	0	0	2	0
67	3	2	2	2	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0
69	1	1	0	6	0	9	0	0	0
70	1	1	0	1	0	1	0	0	0
71	5	3	1	1	0	0	1	0	0
72	1	0	0	2	0	2	0	0	0
73	1	0	2	0	0	1	4	0	0
74	5	1	0	0	2	0	0	0	0
75	3	1	2	0	1	0	0	0	0
76	1	0	3	0	0	0	0	0	0
77	4	2	1	0	1	0	0	0	1
78	7	3	1	0	1	0	0	0	1
79	0	0	0	0	0	0	0	0	0
80	2	0	0	1	2	0	0	0	0
81	3	0	2	1	0	0	0	0	0
82	3	1	2	3	0	2	0	0	0
83	1	2	0	1	0	0	0	2	0
84	2	1	1	1	0	3	0	0	0
85	5	2	0	0	0	0	4	0	0
86	3	0	0	0	0	0	0	0	4
87	4	0	0	0	0	0	0	0	0
88	2	0	6	0	0	0	3	0	0
89	7	1	2	0	0	0	0	3	0
90	4	0	2	1	0	1	0	0	0
91	3	0	0	0	0	0	0	0	0
92	4	0	1	3	0	1	0	0	0
93	1	4	0	1	0	0	0	1	0
94	3	1	1	1	0	0	0	0	0
95	2	3	0	0	3	0	0	0	0
96	5	2	0	0	0	0	0	0	0
97	5	0	0	0	2	0	0	0	0
98	3	4	0	7	0	3	0	0	0
99	5	3	1	1	0	0	0	0	0
100	2	5	1	0	3	0	0	0	0
101	2	0	2	0	0	0	0	0	0
102	3	1	0	2	1	0	0	0	0
103	1	0	0	0	1	0	0	0	0
104	2	2	0	0	1	0	0	0	1
105	3	2	7	0	0	1	1	0	0
106	6	2	0	0	0	0	1	0	6
107	2	0	0	0	0	0	0	0	0
108	0	1	0	0	0	0	1	0	0
109	3	4	0	0	0	0	0	0	0
110	4	0	1	1	0	1	0	0	0
111	1	2	0	1	0	3	0	0	0
112	2	2	0	0	0	0	0	1	0
113	0	0	3	0	0	0	0	0	0
114	5	1	0	0	0	0	0	0	0
115	0	2	0	0	1	0	0	0	0
116	3	2	4	0	0	0	3	0	0
117	3	0	1	2	6	0	0	0	0
118	5	1	0	0	0	0	1	0	0
